iter	RMSE
0	16.81304134
1	16.62434519
2	16.46873033
3	16.33679073
4	16.22636329
5	16.13261045
6	16.05639227
7	15.99095918
8	15.93771321
9	15.8791371
10	15.83543175
11	15.80108819
12	15.75626852
13	15.73202172
14	15.70848958
15	15.68531572
16	15.67176585
17	15.64617675
18	15.62872328
19	15.61706999
20	15.59593557
21	15.56359713
22	15.55032265
23	15.54016399
24	15.53423072
25	15.50512387
26	15.494035
27	15.48287061
28	15.46707073
29	15.4362003
30	15.43136655
31	15.42805635
32	15.42397369
33	15.42188406
34	15.41892669
35	15.40647339
36	15.40088986
37	15.39849569
38	15.39491358
39	15.37750804
